====SECTION Data by ID====
[0x00000000]: (482 entries)
	(data/rev_up_down.csv)                            	?
		FF FF FF FF FF FF FF FF
	(data/acc_light_unplugged.csv)                    	7.146s
		FF FF FF FF FF FF FF FF
	(data/acc_light_unplugged.csv)                    	8.146s
		FF FF FF FF FF FF FF FF
[0x18ff0900]: (1 entries)
	(data/idle_light_unplugged_on.csv)                	2.956s
		45 43 55 FF FF FF FF FF
[0x18ff0903]: (2 entries)
	(data/idle_light_unplugged_on.csv)                	3.343s
		50 54 52 FF FF FF FF FF
	(data/startUp.csv)                                	3.931s
		50 54 52 FF FF FF FF FF
[0x18ff0906]: (2 entries)
	(data/idle_light_unplugged_on.csv)                	3.343s
		45 49 43 FF FF FF FF FF
	(data/startUp.csv)                                	3.930s
		45 49 43 FF FF FF FF FF
[0x18ff0947]: (2 entries)
	(data/idle_light_unplugged_on.csv)                	3.342s
		43 43 55 FF FF FF FF FF
	(data/startUp.csv)                                	3.930s
		43 43 55 FF FF FF FF FF
[0x18fffa00]: (45 entries)
	(data/rev_up_down.csv)                            	1.072s
		02 2C 00 00 28 0C 00 81
	(data/rev_up_down.csv)                            	2.071s
		02 2C 00 00 28 0C 00 81
	(data/rev_up_down.csv)                            	7.071s
		02 2C 00 00 28 0C 00 81
	(data/rev_up_down.csv)                            	9.072s
		02 2C 00 00 28 0C 00 81
	(data/hydraulics.csv)                             	1.842s
		02 2C 00 00 28 0C 00 81
	(data/hydraulics.csv)                             	2.842s
		02 2C 00 00 28 0C 00 81
	(data/hydraulics.csv)                             	4.842s
		02 2C 00 00 28 0C 00 81
	(data/hydraulics.csv)                             	5.843s
		FE FF 9A 3C 1C FF FF FF 02 2C 00 00 28 0C 00 81
	(data/hydraulics.csv)                             	7.842s
		02 2C 00 00 28 0C 00 81
	(data/hydraulics.csv)                             	8.843s
		02 2C 00 00 28 0C 00 81
	(data/acc_light_unplugged_on.csv)                 	1.861s
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_unplugged_on.csv)                 	2.861s
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_unplugged_on.csv)                 	4.861s
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_unplugged_on.csv)                 	5.861s
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_unplugged_on.csv)                 	7.861s
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_unplugged_on.csv)                 	8.861s
		02 2C 00 00 28 0C 00 A5
	(data/bucket_manipulation.csv)                    	2.131s
		FE FF 96 5E 1C FF FF FF 64 15 13 F0 C7 18 93 0E 02 2C 00 00 28 0C 00 81
	(data/bucket_manipulation.csv)                    	5.131s
		02 2C 00 00 28 0C 00 81
	(data/bucket_manipulation.csv)                    	8.131s
		FE FF 98 58 1C FF FF FF 02 2C 00 00 28 0C 00 81
	(data/idling.csv)                                 	2.961s
		02 2C 00 00 28 0C 00 81
	(data/idling.csv)                                 	4.961s
		02 2C 00 00 28 0C 00 81
	(data/idling.csv)                                 	6.961s
		02 2C 00 00 28 0C 00 81
	(data/blinker_toggle.csv)                         	220.6ms
		02 2C 00 00 28 0C 00 A5
	(data/blinker_toggle.csv)                         	2.221s
		02 2C 00 00 28 0C 00 A5
	(data/blinker_toggle.csv)                         	3.221s
		02 2C 00 00 28 0C 00 A5
	(data/blinker_toggle.csv)                         	5.221s
		02 2C 00 00 28 0C 00 A5
	(data/blinker_toggle.csv)                         	6.221s
		02 2C 00 00 28 0C 00 A5
	(data/blinker_toggle.csv)                         	8.221s
		02 2C 00 00 28 0C 00 A5
	(data/blinker_toggle.csv)                         	9.221s
		02 2C 00 00 28 0C 00 A5
	(data/idle_light_unplugged_on.csv)                	250.0ms
		02 2C 00 00 28 0C 00 A5
	(data/idle_light_unplugged_on.csv)                	3.250s
		02 2C 00 00 28 0C 00 81
	(data/idle_light_unplugged_on.csv)                	6.250s
		02 2C 00 00 28 0C 00 81
	(data/startUp.csv)                                	3.008s
		02 2C 00 00 28 0C 00 80
	(data/acc_light_toggle.csv)                       	740.6ms
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_toggle.csv)                       	1.741s
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_toggle.csv)                       	3.741s
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_toggle.csv)                       	4.741s
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_toggle.csv)                       	6.741s
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_toggle.csv)                       	7.741s
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_unplugged.csv)                    	600.6ms
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_unplugged.csv)                    	2.601s
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_unplugged.csv)                    	3.601s
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_unplugged.csv)                    	5.601s
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_unplugged.csv)                    	6.601s
		02 2C 00 00 28 0C 00 A5
	(data/acc_light_unplugged.csv)                    	8.601s
		02 2C 00 00 28 0C 00 A5
[0x18fffb06]: (202 entries)
	(data/rev_up_down.csv)                            	793.9ms
		00 1B FF FF FF FF FF FF
	(data/rev_up_down.csv)                            	1.474s
		00 05 8D F8 FF FF FF FF
	(data/rev_up_down.csv)                            	1.594s
		00 05 89 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	2.315s
		00 05 87 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	2.435s
		00 05 86 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	2.794s
		00 05 87 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	2.914s
		00 05 89 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	3.154s
		00 05 89 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	3.275s
		00 05 8B F8 FF FF FF FF
	(data/rev_up_down.csv)                            	3.634s
		00 05 8A F8 FF FF FF FF
	(data/rev_up_down.csv)                            	3.754s
		00 05 8F F8 FF FF FF FF
	(data/rev_up_down.csv)                            	3.995s
		00 05 8C F8 FF FF FF FF
	(data/rev_up_down.csv)                            	4.114s
		00 05 93 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	4.475s
		00 05 8D F8 FF FF FF FF
	(data/rev_up_down.csv)                            	4.595s
		00 05 97 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	4.836s
		00 05 8E F8 FF FF FF FF
	(data/rev_up_down.csv)                            	4.954s
		00 05 9B F8 FF FF FF FF
	(data/rev_up_down.csv)                            	5.434s
		00 05 8F F8 FF FF FF FF
	(data/rev_up_down.csv)                            	5.795s
		00 05 9C F8 FF FF FF FF
	(data/rev_up_down.csv)                            	5.795s
		00 1B FF FF FF FF FF FF
	(data/rev_up_down.csv)                            	6.154s
		00 05 9F F8 FF FF FF FF
	(data/rev_up_down.csv)                            	6.275s
		00 05 99 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	6.514s
		00 05 A5 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	6.635s
		00 05 9E F8 FF FF FF FF
	(data/rev_up_down.csv)                            	6.995s
		00 05 96 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	7.114s
		00 05 99 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	7.356s
		00 05 93 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	7.474s
		00 05 99 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	7.836s
		00 05 96 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	7.954s
		00 05 93 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	8.194s
		00 05 94 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	8.315s
		00 05 89 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	8.675s
		00 05 86 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	8.795s
		00 05 7D F8 FF FF FF FF
	(data/rev_up_down.csv)                            	8.795s
		00 1B FF FF FF FF FF FF
	(data/rev_up_down.csv)                            	9.035s
		00 05 88 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	9.154s
		00 05 88 F8 FF FF FF FF
	(data/rev_up_down.csv)                            	9.514s
		00 05 7D F8 FF FF FF FF
	(data/rev_up_down.csv)                            	10.43s
		00 05 7F F8 FF FF FF FF
	(data/hydraulics.csv)                             	183.3ms
		00 1B FF FF FF FF FF FF
	(data/hydraulics.csv)                             	225.6ms
		00 05 83 F8 FF FF FF FF
	(data/hydraulics.csv)                             	343.3ms
		00 05 82 F8 FF FF FF FF
	(data/hydraulics.csv)                             	583.3ms
		00 05 84 F8 FF FF FF FF
	(data/hydraulics.csv)                             	944.5ms
		00 05 83 F8 FF FF FF FF
	(data/hydraulics.csv)                             	1.063s
		00 05 85 F8 FF FF FF FF
	(data/hydraulics.csv)                             	1.303s
		00 05 85 F8 FF FF FF FF
	(data/hydraulics.csv)                             	1.424s
		00 05 83 F8 FF FF FF FF
	(data/hydraulics.csv)                             	1.784s
		00 05 84 F8 FF FF FF FF
	(data/hydraulics.csv)                             	2.144s
		00 05 85 F8 FF FF FF FF
	(data/hydraulics.csv)                             	2.183s
		00 1B FF FF FF FF FF FF
	(data/hydraulics.csv)                             	2.503s
		00 05 83 F8 FF FF FF FF
	(data/hydraulics.csv)                             	2.863s
		00 05 85 F8 FF FF FF FF
	(data/hydraulics.csv)                             	2.983s
		00 05 84 F8 FF FF FF FF
	(data/hydraulics.csv)                             	3.183s
		00 1B FF FF FF FF FF FF
	(data/hydraulics.csv)                             	3.225s
		00 05 87 F8 FF FF FF FF
	(data/hydraulics.csv)                             	3.583s
		00 05 85 F8 FF FF FF FF
	(data/hydraulics.csv)                             	3.704s
		00 05 82 F8 FF FF FF FF
	(data/hydraulics.csv)                             	3.945s
		00 05 81 F8 FF FF FF FF
	(data/hydraulics.csv)                             	4.063s
		00 05 81 F8 FF FF FF FF
	(data/hydraulics.csv)                             	4.302s
		00 05 89 F8 FF FF FF FF
	(data/hydraulics.csv)                             	4.424s
		00 05 85 F8 FF FF FF FF
	(data/hydraulics.csv)                             	4.663s
		00 05 86 F8 FF FF FF FF
	(data/hydraulics.csv)                             	4.783s
		00 05 86 F8 FF FF FF FF
	(data/hydraulics.csv)                             	5.183s
		00 1B FF FF FF FF FF FF
	(data/hydraulics.csv)                             	5.503s
		00 05 86 F8 FF FF FF FF
	(data/hydraulics.csv)                             	5.863s
		00 05 86 F8 FF FF FF FF
	(data/hydraulics.csv)                             	6.183s
		00 1B FF FF FF FF FF FF
	(data/hydraulics.csv)                             	6.226s
		00 05 85 F8 FF FF FF FF
	(data/hydraulics.csv)                             	6.343s
		00 05 85 F8 FF FF FF FF
	(data/hydraulics.csv)                             	6.583s
		00 05 86 F8 FF FF FF FF
	(data/hydraulics.csv)                             	6.704s
		00 05 83 F8 FF FF FF FF
	(data/hydraulics.csv)                             	6.945s
		00 05 81 F8 FF FF FF FF
	(data/hydraulics.csv)                             	7.063s
		00 05 83 F8 FF FF FF FF
	(data/hydraulics.csv)                             	7.302s
		00 05 81 F8 FF FF FF FF
	(data/hydraulics.csv)                             	7.423s
		00 05 82 F8 FF FF FF FF
	(data/hydraulics.csv)                             	7.784s
		00 05 85 F8 FF FF FF FF
	(data/hydraulics.csv)                             	8.144s
		00 05 82 F8 FF FF FF FF
	(data/hydraulics.csv)                             	8.183s
		00 1B FF FF FF FF FF FF
	(data/hydraulics.csv)                             	8.503s
		00 05 86 F8 FF FF FF FF
	(data/hydraulics.csv)                             	8.863s
		00 05 83 F8 FF FF FF FF
	(data/hydraulics.csv)                             	8.983s
		00 05 85 F8 FF FF FF FF
	(data/hydraulics.csv)                             	9.183s
		00 1B FF FF FF FF FF FF
	(data/hydraulics.csv)                             	9.266s
		00 05 85 F8 FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	324.7ms
		00 1B FF FF FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	1.325s
		00 1B FF FF FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	1.444s
		00 05 7D F8 FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	3.325s
		00 1B FF FF FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	4.325s
		00 1B FF FF FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	9.325s
		00 1B FF FF FF FF FF FF
	(data/bucket_manipulation.csv)                    	312.3ms
		00 05 81 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	555.2ms
		00 05 86 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	672.3ms
		00 05 7D F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	1.033s
		00 05 84 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	1.392s
		00 05 87 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	1.472s
		00 1B FF FF FF FF FF FF
	(data/bucket_manipulation.csv)                    	1.752s
		00 05 83 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	2.112s
		00 05 81 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	2.233s
		00 05 83 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	2.472s
		00 05 84 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	2.473s
		00 1B FF FF FF FF FF FF
	(data/bucket_manipulation.csv)                    	2.591s
		00 05 85 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	2.832s
		00 05 85 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	2.952s
		00 05 8A F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	3.192s
		00 05 87 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	3.312s
		00 05 87 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	3.555s
		00 05 87 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	4.034s
		00 05 87 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	4.392s
		00 05 88 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	4.472s
		00 1B FF FF FF FF FF FF
	(data/bucket_manipulation.csv)                    	5.472s
		00 1B FF FF FF FF FF FF
	(data/bucket_manipulation.csv)                    	5.514s
		00 05 84 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	5.912s
		00 05 85 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	6.272s
		00 05 85 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	6.632s
		00 05 84 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	6.992s
		00 05 7E F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	7.112s
		00 05 82 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	7.352s
		00 05 85 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	7.472s
		00 05 84 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	7.473s
		00 1B FF FF FF FF FF FF
	(data/bucket_manipulation.csv)                    	7.712s
		00 05 89 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	7.832s
		00 05 84 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	8.192s
		00 05 82 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	8.432s
		00 05 89 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	8.473s
		00 1B FF FF FF FF FF FF
	(data/bucket_manipulation.csv)                    	8.555s
		00 05 86 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	8.913s
		00 05 89 F8 FF FF FF FF
	(data/bucket_manipulation.csv)                    	9.273s
		00 05 87 F8 FF FF FF FF
	(data/idling.csv)                                 	255.3ms
		00 05 83 F8 FF FF FF FF
	(data/idling.csv)                                 	374.8ms
		00 05 82 F8 FF FF FF FF
	(data/idling.csv)                                 	574.8ms
		00 1B FF FF FF FF FF FF
	(data/idling.csv)                                 	1.095s
		00 05 83 F8 FF FF FF FF
	(data/idling.csv)                                 	2.617s
		00 05 82 F8 FF FF FF FF
	(data/idling.csv)                                 	3.015s
		00 05 82 F8 FF FF FF FF
	(data/idling.csv)                                 	3.335s
		00 05 83 F8 FF FF FF FF
	(data/idling.csv)                                 	3.855s
		00 05 83 F8 FF FF FF FF
	(data/idling.csv)                                 	4.575s
		00 1B FF FF FF FF FF FF
	(data/idling.csv)                                 	6.095s
		00 05 83 F8 FF FF FF FF
	(data/idling.csv)                                 	6.215s
		00 05 82 F8 FF FF FF FF
	(data/idling.csv)                                 	6.575s
		00 1B FF FF FF FF FF FF
	(data/idling.csv)                                 	7.335s
		00 05 83 F8 FF FF FF FF
	(data/idling.csv)                                 	8.095s
		00 05 82 F8 FF FF FF FF
	(data/idling.csv)                                 	8.815s
		00 05 83 F8 FF FF FF FF
	(data/idling.csv)                                 	8.935s
		00 05 82 F8 FF FF FF FF
	(data/idling.csv)                                 	9.216s
		00 05 83 F8 FF FF FF FF
	(data/idling.csv)                                 	9.575s
		00 05 82 F8 FF FF FF FF
	(data/idling.csv)                                 	9.576s
		00 1B FF FF FF FF FF FF
	(data/blinker_toggle.csv)                         	743.5ms
		00 1B FF FF FF FF FF FF
	(data/blinker_toggle.csv)                         	984.1ms
		00 05 7D F8 FF FF FF FF
	(data/blinker_toggle.csv)                         	1.744s
		00 1B FF FF FF FF FF FF
	(data/blinker_toggle.csv)                         	2.984s
		00 05 7D F8 FF FF FF FF
	(data/blinker_toggle.csv)                         	3.744s
		00 1B FF FF FF FF FF FF
	(data/blinker_toggle.csv)                         	4.744s
		00 1B FF FF FF FF FF FF
	(data/blinker_toggle.csv)                         	5.984s
		00 05 7D F8 FF FF FF FF
	(data/blinker_toggle.csv)                         	6.744s
		00 1B FF FF FF FF FF FF
	(data/blinker_toggle.csv)                         	6.984s
		00 05 7D F8 FF FF FF FF
	(data/blinker_toggle.csv)                         	7.744s
		00 1B FF FF FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	714.4ms
		00 1B FF FF FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	2.983s
		00 05 A2 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	3.344s
		00 05 90 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	3.583s
		00 05 A4 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	3.623s
		00 1B FF FF FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	3.707s
		00 05 A1 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	3.942s
		5C 53 1D 53 1D FF FF FF 00 05 9C F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	4.064s
		00 05 8D F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	4.303s
		00 05 90 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	4.422s
		00 05 A4 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	4.784s
		00 05 99 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	5.143s
		00 05 99 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	5.503s
		00 05 A9 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	5.863s
		00 05 83 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	6.223s
		00 05 85 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	6.342s
		00 05 86 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	6.583s
		00 05 83 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	6.623s
		00 1B FF FF FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	6.706s
		00 05 84 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	6.942s
		00 05 84 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	7.064s
		00 05 86 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	7.303s
		00 05 83 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	7.423s
		00 05 85 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	7.783s
		00 05 85 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	8.143s
		00 05 84 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	8.503s
		00 05 82 F8 FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	8.863s
		00 05 81 F8 FF FF FF FF
	(data/startUp.csv)                                	3.811s
		00 05 96 F8 FF FF FF FF
	(data/startUp.csv)                                	3.932s
		00 05 7D F8 FF FF FF FF
	(data/startUp.csv)                                	4.210s
		00 1B FF FF FF FF FF FF
	(data/startUp.csv)                                	4.294s
		00 05 93 F8 FF FF FF FF
	(data/acc_light_toggle.csv)                       	253.5ms
		00 1B FF FF FF FF FF FF
	(data/acc_light_toggle.csv)                       	2.533s
		00 05 7D F8 FF FF FF FF
	(data/acc_light_toggle.csv)                       	3.254s
		00 1B FF FF FF FF FF FF
	(data/acc_light_toggle.csv)                       	5.254s
		00 1B FF FF FF FF FF FF
	(data/acc_light_toggle.csv)                       	5.534s
		00 05 7D F8 FF FF FF FF
	(data/acc_light_toggle.csv)                       	6.254s
		00 1B FF FF FF FF FF FF
	(data/acc_light_toggle.csv)                       	7.534s
		00 05 7D F8 FF FF FF FF
	(data/acc_light_toggle.csv)                       	8.254s
		00 1B FF FF FF FF FF FF
	(data/acc_light_toggle.csv)                       	8.534s
		00 05 7D F8 FF FF FF FF
	(data/acc_light_unplugged.csv)                    	184.4ms
		00 05 7D F8 FF FF FF FF
	(data/acc_light_unplugged.csv)                    	1.065s
		00 1B FF FF FF FF FF FF
	(data/acc_light_unplugged.csv)                    	2.066s
		00 1B FF FF FF FF FF FF
	(data/acc_light_unplugged.csv)                    	5.185s
		00 05 7D F8 FF FF FF FF
	(data/acc_light_unplugged.csv)                    	7.065s
		00 1B FF FF FF FF FF FF
	(data/acc_light_unplugged.csv)                    	8.185s
		5C 53 1D 53 1D FF FF FF 00 05 7D F8 FF FF FF FF
[0x18ffff06]: (81 entries)
	(data/rev_up_down.csv)                            	313.5ms
		73 FF FF FF FF FF FF FF
	(data/rev_up_down.csv)                            	2.314s
		73 FF FF FF FF FF FF FF
	(data/rev_up_down.csv)                            	2.835s
		73 FF FF FF FF FF FF FF
	(data/rev_up_down.csv)                            	3.314s
		73 FF FF FF FF FF FF FF
	(data/rev_up_down.csv)                            	4.835s
		73 FF FF FF FF FF FF FF
	(data/rev_up_down.csv)                            	5.314s
		73 FF FF FF FF FF FF FF
	(data/rev_up_down.csv)                            	5.836s
		73 FF FF FF FF FF FF FF
	(data/rev_up_down.csv)                            	7.836s
		73 FF FF FF FF FF FF FF
	(data/rev_up_down.csv)                            	8.314s
		73 FF FF FF FF FF FF FF
	(data/rev_up_down.csv)                            	10.31s
		73 FF FF FF FF FF FF FF
	(data/hydraulics.csv)                             	225.1ms
		73 FF FF FF FF FF FF FF
	(data/hydraulics.csv)                             	702.9ms
		73 FF FF FF FF FF FF FF
	(data/hydraulics.csv)                             	1.703s
		73 FF FF FF FF FF FF FF
	(data/hydraulics.csv)                             	2.225s
		73 FF FF FF FF FF FF FF
	(data/hydraulics.csv)                             	3.225s
		73 FF FF FF FF FF FF FF
	(data/hydraulics.csv)                             	3.703s
		73 FF FF FF FF FF FF FF
	(data/hydraulics.csv)                             	4.703s
		73 FF FF FF FF FF FF FF
	(data/hydraulics.csv)                             	5.225s
		73 FF FF FF FF FF FF FF
	(data/hydraulics.csv)                             	6.225s
		73 FF FF FF FF FF FF FF
	(data/hydraulics.csv)                             	6.703s
		73 FF FF FF FF FF FF FF
	(data/hydraulics.csv)                             	7.703s
		73 FF FF FF FF FF FF FF
	(data/hydraulics.csv)                             	8.225s
		73 FF FF FF FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	366.4ms
		73 FF FF FF FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	1.366s
		73 FF FF FF FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	1.844s
		73 FF FF FF FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	2.845s
		73 FF FF FF FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	3.366s
		73 FF FF FF FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	4.845s
		73 FF FF FF FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	5.844s
		73 FF FF FF FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	6.367s
		73 FF FF FF FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	7.367s
		73 FF FF FF FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	7.844s
		73 FF FF FF FF FF FF FF
	(data/acc_light_unplugged_on.csv)                 	9.366s
		73 FF FF FF FF FF FF FF
	(data/bucket_manipulation.csv)                    	991.1ms
		73 FF FF FF FF FF FF FF
	(data/bucket_manipulation.csv)                    	2.513s
		73 FF FF FF FF FF FF FF
	(data/bucket_manipulation.csv)                    	3.992s
		73 FF FF FF FF FF FF FF
	(data/bucket_manipulation.csv)                    	5.514s
		73 FF FF FF FF FF FF FF
	(data/bucket_manipulation.csv)                    	5.991s
		73 FF FF FF FF FF FF FF
	(data/bucket_manipulation.csv)                    	8.514s
		73 FF FF FF FF FF FF FF
	(data/bucket_manipulation.csv)                    	8.992s
		73 FF FF FF FF FF FF FF
	(data/idling.csv)                                 	616.5ms
		73 FF FF FF FF FF FF FF
	(data/idling.csv)                                 	1.094s
		73 FF FF FF FF FF FF FF
	(data/idling.csv)                                 	2.616s
		73 FF FF FF FF FF FF FF
	(data/idling.csv)                                 	3.094s
		73 FF FF FF FF FF FF FF
	(data/idling.csv)                                 	4.094s
		73 FF FF FF FF FF FF FF
	(data/idling.csv)                                 	4.617s
		73 FF FF FF FF FF FF FF
	(data/idling.csv)                                 	6.094s
		73 FF FF FF FF FF FF FF
	(data/idling.csv)                                 	6.617s
		73 FF FF FF FF FF FF FF
	(data/idling.csv)                                 	7.617s
		73 FF FF FF FF FF FF FF
	(data/idling.csv)                                 	8.095s
		73 FF FF FF FF FF FF FF
	(data/idling.csv)                                 	9.617s
		73 FF FF FF FF FF FF FF
	(data/blinker_toggle.csv)                         	263.6ms
		73 FF FF FF FF FF FF FF
	(data/blinker_toggle.csv)                         	1.785s
		73 FF FF FF FF FF FF FF
	(data/blinker_toggle.csv)                         	3.264s
		73 FF FF FF FF FF FF FF
	(data/blinker_toggle.csv)                         	5.264s
		73 FF FF FF FF FF FF FF
	(data/blinker_toggle.csv)                         	6.264s
		73 FF FF FF FF FF FF FF
	(data/blinker_toggle.csv)                         	6.785s
		73 FF FF FF FF FF FF FF
	(data/blinker_toggle.csv)                         	7.785s
		73 FF FF FF FF FF FF FF
	(data/blinker_toggle.csv)                         	8.264s
		73 FF FF FF FF FF FF FF
	(data/blinker_toggle.csv)                         	9.263s
		73 FF FF FF FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	233.3ms
		73 FF FF FF FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	5.142s
		73 FF FF FF FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	6.665s
		73 FF FF FF FF FF FF FF
	(data/idle_light_unplugged_on.csv)                	8.142s
		73 FF FF FF FF FF FF FF
	(data/startUp.csv)                                	4.252s
		73 FF FF FF FF FF FF FF
	(data/acc_light_toggle.csv)                       	294.6ms
		73 FF FF FF FF FF FF FF
	(data/acc_light_toggle.csv)                       	1.775s
		73 FF FF FF FF FF FF FF
	(data/acc_light_toggle.csv)                       	3.295s
		73 FF FF FF FF FF FF FF
	(data/acc_light_toggle.csv)                       	4.774s
		73 FF FF FF FF FF FF FF
	(data/acc_light_toggle.csv)                       	6.295s
		73 FF FF FF FF FF FF FF
	(data/acc_light_toggle.csv)                       	9.295s
		73 FF FF FF FF FF FF FF
	(data/acc_light_unplugged.csv)                    	585.0ms
		73 FF FF FF FF FF FF FF
	(data/acc_light_unplugged.csv)                    	1.107s
